date,scientist,rep,primary,primary_dose,secondary,secondary_dose,condition,vial,day,hour,status
3/10/2021,Abby,Spring 2021 exp 1,PBS,0,P.snee,0.01,PBS-P.snee Control,C6,1.166666667,28,1
3/10/2021,Abby,Spring 2021 exp 1,PBS,0,P.snee,0.01,PBS-P.snee Control,C6,1.25,30,1
3/10/2021,Abby,Spring 2021 exp 1,PBS,0,P.snee,0.01,PBS-P.snee Control,C6,1.25,30,1
3/10/2021,Abby,Spring 2021 exp 1,PBS,0,P.snee,0.01,PBS-P.snee Control,C6,1.333333333,32,1
3/10/2021,Abby,Spring 2021 exp 1,PBS,0,P.snee,0.01,PBS-P.snee Control,C6,1.333333333,32,1
3/10/2021,Abby,Spring 2021 exp 1,PBS,0,P.snee,0.01,PBS-P.snee Control,C6,1.5,36,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,1,1.25,30,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,1,1.333333333,32,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,1,1.333333333,32,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,1,1.333333333,32,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,1,1.333333333,32,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,1,1.333333333,32,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,1,1.333333333,32,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,1,1.416666667,34,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,1,1.5,36,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,1,1.5,36,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,2,1.083333333,26,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,2,1.083333333,26,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,2,1.166666667,28,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,2,1.25,30,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,2,1.333333333,32,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,2,1.416666667,34,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,2,1.416666667,34,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,2,1.416666667,34,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,2,1.5,36,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,2,1.5,36,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,3,1.083333333,26,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,3,1.083333333,26,1
