date,replicate,scientist,primary,secondary_dose,time,load
6/25/2018,IV,Frank,02_Efae,0.001,0,168
6/25/2018,IV,Frank,02_Efae,0.001,0,18
6/25/2018,IV,Frank,02_Efae,0.001,0,12
6/25/2018,IV,Frank,02_Efae,0.001,0,20
6/25/2018,IV,Frank,02_Efae,0.001,10,3280
6/25/2018,IV,Frank,02_Efae,0.001,10,48905
6/25/2018,IV,Frank,02_Efae,0.001,10,83212
6/25/2018,IV,Frank,02_Efae,0.001,10,50365
6/25/2018,IV,Frank,02_Efae,0.01,0,284
6/25/2018,IV,Frank,02_Efae,0.01,0,254
6/25/2018,IV,Frank,02_Efae,0.01,0,312
6/25/2018,IV,Frank,02_Efae,0.01,0,224
6/25/2018,IV,Frank,02_Efae,0.01,0,238
6/25/2018,IV,Frank,02_Efae,0.01,0,98
6/25/2018,IV,Frank,02_Efae,0.01,10,40000
6/25/2018,IV,Frank,02_Efae,0.01,10,88000
6/25/2018,IV,Frank,02_Efae,0.01,10,120000
6/25/2018,IV,Frank,02_Efae,0.01,10,26000
6/25/2018,IV,Frank,02_Efae,0.1,0,2197
6/25/2018,IV,Frank,02_Efae,0.1,0,2272
6/25/2018,IV,Frank,02_Efae,0.1,0,1926
6/25/2018,IV,Frank,02_Efae,0.1,0,2235
6/25/2018,IV,Frank,02_Efae,0.1,0,1932
6/25/2018,IV,Frank,02_Efae,0.1,0,2652
6/25/2018,IV,Frank,02_Efae,0.1,10,231000
6/25/2018,IV,Frank,02_Efae,0.1,10,815000
6/25/2018,IV,Frank,02_Efae,0.1,10,204000
6/25/2018,IV,Frank,02_Efae,0.1,10,358000
6/25/2018,IV,Frank,02_Efae,1,0,5985
6/25/2018,IV,Frank,02_Efae,1,0,4307
6/25/2018,IV,Frank,02_Efae,1,0,10741
6/25/2018,IV,Frank,02_Efae,1,0,8704
6/25/2018,IV,Frank,02_Efae,1,0,2538
6/25/2018,IV,Frank,02_Efae,1,0,6852
6/25/2018,IV,Frank,02_Efae,1,10,10700000
6/25/2018,IV,Frank,02_Efae,1,10,8330000
6/25/2018,IV,Frank,02_Efae,1,10,1820000
6/25/2018,IV,Frank,02_Efae,1,10,9630000
7/19/2018,VIII,Frank,01_PBS,0.001,0,34
7/19/2018,VIII,Frank,01_PBS,0.001,0,38
7/19/2018,VIII,Frank,01_PBS,0.001,0,28
7/19/2018,VIII,Frank,01_PBS,0.001,0,30
7/19/2018,VIII,Frank,01_PBS,0.001,10,5867
