,date,scientist,rep,primary,secondary_dose,vial,day,status
98,8/2/2018,Frank,12,S.m,1,32,3,0
99,8/6/2018,Frank,13,PBS,0.01,5,1,1
100,8/6/2018,Frank,13,PBS,0.01,5,1,1
101,8/6/2018,Frank,13,PBS,0.01,5,2,1
102,8/6/2018,Frank,13,PBS,0.01,5,3,0
103,8/6/2018,Frank,13,PBS,0.01,5,3,0
104,8/6/2018,Frank,13,PBS,0.01,5,3,0
105,8/6/2018,Frank,13,PBS,0.01,8,1,1
106,8/6/2018,Frank,13,PBS,0.01,8,1,1
107,8/6/2018,Frank,13,PBS,0.01,8,1,1
108,8/6/2018,Frank,13,PBS,0.01,8,2,1
109,8/6/2018,Frank,13,PBS,0.01,8,3,1
110,8/6/2018,Frank,13,PBS,0.01,8,3,0
111,8/6/2018,Frank,13,PBS,0.01,9,1,1
112,8/6/2018,Frank,13,PBS,0.01,9,1,1
113,8/6/2018,Frank,13,PBS,0.01,9,2,1
114,8/6/2018,Frank,13,PBS,0.01,9,2,1
115,8/6/2018,Frank,13,PBS,0.01,9,3,1
116,8/6/2018,Frank,13,PBS,0.01,9,3,0
117,8/6/2018,Frank,13,PBS,0.01,9,3,0
118,8/6/2018,Frank,13,PBS,0.1,11,1,1
119,8/6/2018,Frank,13,PBS,0.1,11,1,1
120,8/6/2018,Frank,13,PBS,0.1,11,1,1
121,8/6/2018,Frank,13,PBS,0.1,11,1,1
122,8/6/2018,Frank,13,PBS,0.1,11,1,1
123,8/6/2018,Frank,13,PBS,0.1,11,3,0
124,8/6/2018,Frank,13,PBS,0.1,11,3,0
125,8/6/2018,Frank,13,PBS,0.1,11,3,0
126,8/6/2018,Frank,13,PBS,0.1,12,1,1
127,8/6/2018,Frank,13,PBS,0.1,12,1,1
128,8/6/2018,Frank,13,PBS,0.1,12,1,1
129,8/6/2018,Frank,13,PBS,0.1,12,1,1
130,8/6/2018,Frank,13,PBS,0.1,12,1,1
131,8/6/2018,Frank,13,PBS,0.1,12,1,1
132,8/6/2018,Frank,13,PBS,0.1,12,1,1
133,8/6/2018,Frank,13,PBS,0.1,12,1,1
134,8/6/2018,Frank,13,PBS,0.1,12,2,1
135,8/6/2018,Frank,13,PBS,0.1,12,3,0
136,8/6/2018,Frank,13,PBS,0.1,13,1,1
137,8/6/2018,Frank,13,PBS,0.1,13,1,1
138,8/6/2018,Frank,13,PBS,0.1,13,1,1
139,8/6/2018,Frank,13,PBS,0.1,13,1,1
140,8/6/2018,Frank,13,PBS,0.1,13,2,1
141,8/6/2018,Frank,13,PBS,0.1,13,2,1
142,8/6/2018,Frank,13,PBS,0.1,13,3,0
143,8/6/2018,Frank,13,PBS,0.1,13,3,0
144,8/6/2018,Frank,13,PBS,0.1,13,3,0
145,8/6/2018,Frank,13,PBS,1,16,1,1
146,8/6/2018,Frank,13,PBS,1,16,1,1
147,8/6/2018,Frank,13,PBS,1,16,1,1
148,8/6/2018,Frank,13,PBS,1,16,1,1
149,8/6/2018,Frank,13,PBS,1,16,1,1
150,8/6/2018,Frank,13,PBS,1,17,1,1
151,8/6/2018,Frank,13,PBS,1,17,1,1
152,8/6/2018,Frank,13,PBS,1,17,1,1
153,8/6/2018,Frank,13,PBS,1,17,1,1
154,8/6/2018,Frank,13,PBS,1,17,1,1
155,8/6/2018,Frank,13,PBS,1,17,2,1
156,8/6/2018,Frank,13,PBS,1,17,2,1
157,8/6/2018,Frank,13,S.m,0.01,23,2,1
158,8/6/2018,Frank,13,S.m,0.01,23,2,1
159,8/6/2018,Frank,13,S.m,0.01,23,3,0
160,8/6/2018,Frank,13,S.m,0.01,23,3,0
161,8/6/2018,Frank,13,S.m,0.01,23,3,0
162,8/6/2018,Frank,13,S.m,0.01,23,3,0
163,8/6/2018,Frank,13,S.m,0.01,23,3,0
