Date,scientist,rep,primary,secondary_dose,vial,day,status,alive3,X0.hour,X10.hour,log10_10hour,bin_primary,bin_alive3
6/22/2018,Frank,3,01_PBS,0.001,2,2,1,FALSE,24.4,29150,4.464639,0,0
6/22/2018,Frank,3,01_PBS,0.001,2,2,1,FALSE,24.4,29150,4.464639,0,0
6/22/2018,Frank,3,01_PBS,0.001,2,2,1,FALSE,24.4,29150,4.464639,0,0
6/22/2018,Frank,3,01_PBS,0.001,2,5,0,TRUE,24.4,29150,4.464639,0,1
6/22/2018,Frank,3,01_PBS,0.001,2,5,0,TRUE,24.4,29150,4.464639,0,1
6/22/2018,Frank,3,01_PBS,0.001,2,5,0,TRUE,24.4,29150,4.464639,0,1
6/22/2018,Frank,3,01_PBS,0.001,2,5,0,TRUE,24.4,29150,4.464639,0,1
6/22/2018,Frank,3,01_PBS,0.001,2,5,0,TRUE,24.4,29150,4.464639,0,1
6/22/2018,Frank,3,01_PBS,0.001,2,5,0,TRUE,24.4,29150,4.464639,0,1
6/22/2018,Frank,3,01_PBS,0.001,2,5,0,TRUE,24.4,29150,4.464639,0,1
6/22/2018,Frank,3,01_PBS,0.001,3,1,1,FALSE,24.4,29150,4.464639,0,0
6/22/2018,Frank,3,01_PBS,0.001,3,2,1,FALSE,24.4,29150,4.464639,0,0
6/22/2018,Frank,3,01_PBS,0.001,3,2,1,FALSE,24.4,29150,4.464639,0,0
6/22/2018,Frank,3,01_PBS,0.001,3,2,1,FALSE,24.4,29150,4.464639,0,0
6/22/2018,Frank,3,01_PBS,0.001,3,2,1,FALSE,24.4,29150,4.464639,0,0
6/22/2018,Frank,3,01_PBS,0.001,3,2,1,FALSE,24.4,29150,4.464639,0,0
6/22/2018,Frank,3,01_PBS,0.001,3,5,0,TRUE,24.4,29150,4.464639,0,1
6/22/2018,Frank,3,01_PBS,0.001,3,5,0,TRUE,24.4,29150,4.464639,0,1
6/22/2018,Frank,3,01_PBS,0.001,3,5,0,TRUE,24.4,29150,4.464639,0,1
6/22/2018,Frank,3,01_PBS,0.001,4,1,1,FALSE,24.4,29150,4.464639,0,0
6/22/2018,Frank,3,01_PBS,0.001,4,2,1,FALSE,24.4,29150,4.464639,0,0
6/22/2018,Frank,3,01_PBS,0.001,4,2,1,FALSE,24.4,29150,4.464639,0,0
6/22/2018,Frank,3,01_PBS,0.001,4,2,1,FALSE,24.4,29150,4.464639,0,0
6/22/2018,Frank,3,01_PBS,0.001,4,5,0,TRUE,24.4,29150,4.464639,0,1
6/22/2018,Frank,3,01_PBS,0.001,4,5,0,TRUE,24.4,29150,4.464639,0,1
6/22/2018,Frank,3,01_PBS,0.001,4,5,0,TRUE,24.4,29150,4.464639,0,1
6/22/2018,Frank,3,01_PBS,0.001,4,5,0,TRUE,24.4,29150,4.464639,0,1
6/22/2018,Frank,3,01_PBS,0.001,4,5,0,TRUE,24.4,29150,4.464639,0,1
6/22/2018,Frank,3,01_PBS,0.01,5,1,1,FALSE,261,118000,5.071882,0,0
6/22/2018,Frank,3,01_PBS,0.01,5,1,1,FALSE,261,118000,5.071882,0,0
6/22/2018,Frank,3,01_PBS,0.01,5,1,1,FALSE,261,118000,5.071882,0,0
6/22/2018,Frank,3,01_PBS,0.01,5,2,1,FALSE,261,118000,5.071882,0,0
6/22/2018,Frank,3,01_PBS,0.01,5,2,1,FALSE,261,118000,5.071882,0,0
6/22/2018,Frank,3,01_PBS,0.01,5,5,0,TRUE,261,118000,5.071882,0,1
6/22/2018,Frank,3,01_PBS,0.01,5,5,0,TRUE,261,118000,5.071882,0,1
6/22/2018,Frank,3,01_PBS,0.01,5,5,0,TRUE,261,118000,5.071882,0,1
6/22/2018,Frank,3,01_PBS,0.01,5,5,0,TRUE,261,118000,5.071882,0,1
6/22/2018,Frank,3,01_PBS,0.01,5,5,0,TRUE,261,118000,5.071882,0,1
6/22/2018,Frank,3,01_PBS,0.01,7,1,1,FALSE,261,118000,5.071882,0,0
6/22/2018,Frank,3,01_PBS,0.01,7,1,1,FALSE,261,118000,5.071882,0,0
6/22/2018,Frank,3,01_PBS,0.01,7,1,1,FALSE,261,118000,5.071882,0,0
6/22/2018,Frank,3,01_PBS,0.01,7,1,1,FALSE,261,118000,5.071882,0,0
6/22/2018,Frank,3,01_PBS,0.01,7,2,1,FALSE,261,118000,5.071882,0,0
6/22/2018,Frank,3,01_PBS,0.01,7,2,1,FALSE,261,118000,5.071882,0,0
6/22/2018,Frank,3,01_PBS,0.01,7,2,1,FALSE,261,118000,5.071882,0,0
6/22/2018,Frank,3,01_PBS,0.01,7,2,1,FALSE,261,118000,5.071882,0,0
6/22/2018,Frank,3,01_PBS,0.1,9,1,1,FALSE,1567.333,1322500,6.121396,0,0
6/22/2018,Frank,3,01_PBS,0.1,9,1,1,FALSE,1567.333,1322500,6.121396,0,0
6/22/2018,Frank,3,01_PBS,0.1,9,1,1,FALSE,1567.333,1322500,6.121396,0,0
6/22/2018,Frank,3,01_PBS,0.1,9,1,1,FALSE,1567.333,1322500,6.121396,0,0
6/22/2018,Frank,3,01_PBS,0.1,9,1,1,FALSE,1567.333,1322500,6.121396,0,0
6/22/2018,Frank,3,01_PBS,0.1,9,1,1,FALSE,1567.333,1322500,6.121396,0,0
6/22/2018,Frank,3,01_PBS,0.1,9,1,1,FALSE,1567.333,1322500,6.121396,0,0
6/22/2018,Frank,3,01_PBS,0.1,9,2,1,FALSE,1567.333,1322500,6.121396,0,0
6/22/2018,Frank,3,01_PBS,0.1,9,5,0,TRUE,1567.333,1322500,6.121396,0,1
6/22/2018,Frank,3,01_PBS,0.1,9,5,0,TRUE,1567.333,1322500,6.121396,0,1
6/22/2018,Frank,3,01_PBS,0.1,10,1,1,FALSE,1567.333,1322500,6.121396,0,0
6/22/2018,Frank,3,01_PBS,0.1,10,1,1,FALSE,1567.333,1322500,6.121396,0,0
6/22/2018,Frank,3,01_PBS,0.1,10,1,1,FALSE,1567.333,1322500,6.121396,0,0
6/22/2018,Frank,3,01_PBS,0.1,10,1,1,FALSE,1567.333,1322500,6.121396,0,0
6/22/2018,Frank,3,01_PBS,0.1,10,1,1,FALSE,1567.333,1322500,6.121396,0,0
6/22/2018,Frank,3,01_PBS,0.1,10,1,1,FALSE,1567.333,1322500,6.121396,0,0
6/22/2018,Frank,3,01_PBS,0.1,10,1,1,FALSE,1567.333,1322500,6.121396,0,0
6/22/2018,Frank,3,01_PBS,0.1,10,5,0,TRUE,1567.333,1322500,6.121396,0,1
6/22/2018,Frank,3,01_PBS,0.1,10,5,0,TRUE,1567.333,1322500,6.121396,0,1
6/22/2018,Frank,3,01_PBS,0.1,10,5,0,TRUE,1567.333,1322500,6.121396,0,1
6/22/2018,Frank,3,01_PBS,0.1,11,1,1,FALSE,1567.333,1322500,6.121396,0,0
6/22/2018,Frank,3,01_PBS,0.1,11,1,1,FALSE,1567.333,1322500,6.121396,0,0
6/22/2018,Frank,3,01_PBS,0.1,11,1,1,FALSE,1567.333,1322500,6.121396,0,0
6/22/2018,Frank,3,01_PBS,0.1,11,1,1,FALSE,1567.333,1322500,6.121396,0,0
6/22/2018,Frank,3,01_PBS,0.1,11,1,1,FALSE,1567.333,1322500,6.121396,0,0
6/22/2018,Frank,3,01_PBS,0.1,11,1,1,FALSE,1567.333,1322500,6.121396,0,0
6/22/2018,Frank,3,01_PBS,0.1,11,2,1,FALSE,1567.333,1322500,6.121396,0,0
6/22/2018,Frank,3,01_PBS,0.1,11,5,1,TRUE,1567.333,1322500,6.121396,0,1
6/22/2018,Frank,3,01_PBS,0.1,11,5,0,TRUE,1567.333,1322500,6.121396,0,1
6/22/2018,Frank,3,01_PBS,1,13,1,1,FALSE,6104.167,6207500,6.792917,0,0
6/22/2018,Frank,3,01_PBS,1,13,1,1,FALSE,6104.167,6207500,6.792917,0,0
6/22/2018,Frank,3,01_PBS,1,13,1,1,FALSE,6104.167,6207500,6.792917,0,0
6/22/2018,Frank,3,01_PBS,1,13,1,1,FALSE,6104.167,6207500,6.792917,0,0
6/22/2018,Frank,3,01_PBS,1,13,1,1,FALSE,6104.167,6207500,6.792917,0,0
6/22/2018,Frank,3,01_PBS,1,13,1,1,FALSE,6104.167,6207500,6.792917,0,0
6/22/2018,Frank,3,01_PBS,1,13,1,1,FALSE,6104.167,6207500,6.792917,0,0
6/22/2018,Frank,3,01_PBS,1,13,1,1,FALSE,6104.167,6207500,6.792917,0,0
6/22/2018,Frank,3,01_PBS,1,13,1,1,FALSE,6104.167,6207500,6.792917,0,0
6/22/2018,Frank,3,01_PBS,1,13,1,1,FALSE,6104.167,6207500,6.792917,0,0
6/22/2018,Frank,3,01_PBS,1,14,1,1,FALSE,6104.167,6207500,6.792917,0,0
6/22/2018,Frank,3,01_PBS,1,14,1,1,FALSE,6104.167,6207500,6.792917,0,0
6/22/2018,Frank,3,01_PBS,1,14,1,1,FALSE,6104.167,6207500,6.792917,0,0
6/22/2018,Frank,3,01_PBS,1,14,1,1,FALSE,6104.167,6207500,6.792917,0,0
6/22/2018,Frank,3,01_PBS,1,14,1,1,FALSE,6104.167,6207500,6.792917,0,0
6/22/2018,Frank,3,01_PBS,1,14,1,1,FALSE,6104.167,6207500,6.792917,0,0
6/22/2018,Frank,3,01_PBS,1,14,1,1,FALSE,6104.167,6207500,6.792917,0,0
6/22/2018,Frank,3,01_PBS,1,14,1,1,FALSE,6104.167,6207500,6.792917,0,0
6/22/2018,Frank,3,01_PBS,1,14,1,1,FALSE,6104.167,6207500,6.792917,0,0
6/22/2018,Frank,3,01_PBS,1,14,1,1,FALSE,6104.167,6207500,6.792917,0,0
6/22/2018,Frank,3,01_PBS,1,15,1,1,FALSE,6104.167,6207500,6.792917,0,0
6/22/2018,Frank,3,01_PBS,1,15,1,1,FALSE,6104.167,6207500,6.792917,0,0
6/22/2018,Frank,3,01_PBS,1,15,1,1,FALSE,6104.167,6207500,6.792917,0,0
6/22/2018,Frank,3,01_PBS,1,15,1,1,FALSE,6104.167,6207500,6.792917,0,0
6/22/2018,Frank,3,01_PBS,1,15,1,1,FALSE,6104.167,6207500,6.792917,0,0
6/22/2018,Frank,3,01_PBS,1,15,1,1,FALSE,6104.167,6207500,6.792917,0,0
6/22/2018,Frank,3,01_PBS,1,15,1,1,FALSE,6104.167,6207500,6.792917,0,0
6/22/2018,Frank,3,01_PBS,1,15,1,1,FALSE,6104.167,6207500,6.792917,0,0
6/22/2018,Frank,3,01_PBS,1,15,1,1,FALSE,6104.167,6207500,6.792917,0,0
6/22/2018,Frank,3,01_PBS,1,15,1,1,FALSE,6104.167,6207500,6.792917,0,0
6/22/2018,Frank,3,02_Ef,0.001,17,1,1,FALSE,16.5,7400,3.869232,1,0
6/22/2018,Frank,3,02_Ef,0.001,17,1,1,FALSE,16.5,7400,3.869232,1,0
6/22/2018,Frank,3,02_Ef,0.001,17,2,1,FALSE,16.5,7400,3.869232,1,0
6/22/2018,Frank,3,02_Ef,0.001,17,3,1,FALSE,16.5,7400,3.869232,1,0
6/22/2018,Frank,3,02_Ef,0.001,17,5,0,TRUE,16.5,7400,3.869232,1,1
6/22/2018,Frank,3,02_Ef,0.001,17,5,0,TRUE,16.5,7400,3.869232,1,1
6/22/2018,Frank,3,02_Ef,0.001,17,5,0,TRUE,16.5,7400,3.869232,1,1
6/22/2018,Frank,3,02_Ef,0.001,17,5,0,TRUE,16.5,7400,3.869232,1,1
6/22/2018,Frank,3,02_Ef,0.001,17,5,0,TRUE,16.5,7400,3.869232,1,1
6/22/2018,Frank,3,02_Ef,0.001,18,2,1,FALSE,16.5,7400,3.869232,1,0
6/22/2018,Frank,3,02_Ef,0.001,18,2,1,FALSE,16.5,7400,3.869232,1,0
6/22/2018,Frank,3,02_Ef,0.001,18,2,1,FALSE,16.5,7400,3.869232,1,0
6/22/2018,Frank,3,02_Ef,0.001,18,2,1,FALSE,16.5,7400,3.869232,1,0
6/22/2018,Frank,3,02_Ef,0.001,18,5,0,TRUE,16.5,7400,3.869232,1,1
6/22/2018,Frank,3,02_Ef,0.001,18,5,0,TRUE,16.5,7400,3.869232,1,1
6/22/2018,Frank,3,02_Ef,0.001,18,5,0,TRUE,16.5,7400,3.869232,1,1
6/22/2018,Frank,3,02_Ef,0.001,18,5,0,TRUE,16.5,7400,3.869232,1,1
6/22/2018,Frank,3,02_Ef,0.001,19,2,1,FALSE,16.5,7400,3.869232,1,0
6/22/2018,Frank,3,02_Ef,0.001,19,5,0,TRUE,16.5,7400,3.869232,1,1
6/22/2018,Frank,3,02_Ef,0.001,19,5,0,TRUE,16.5,7400,3.869232,1,1
6/22/2018,Frank,3,02_Ef,0.001,19,5,0,TRUE,16.5,7400,3.869232,1,1
6/22/2018,Frank,3,02_Ef,0.001,19,5,0,TRUE,16.5,7400,3.869232,1,1
6/22/2018,Frank,3,02_Ef,0.001,19,5,0,TRUE,16.5,7400,3.869232,1,1
6/22/2018,Frank,3,02_Ef,0.001,19,5,0,TRUE,16.5,7400,3.869232,1,1
6/22/2018,Frank,3,02_Ef,0.001,19,5,0,TRUE,16.5,7400,3.869232,1,1
6/22/2018,Frank,3,02_Ef,0.001,19,5,0,TRUE,16.5,7400,3.869232,1,1
6/22/2018,Frank,3,02_Ef,0.001,20,2,1,FALSE,16.5,7400,3.869232,1,0
6/22/2018,Frank,3,02_Ef,0.001,20,2,1,FALSE,16.5,7400,3.869232,1,0
6/22/2018,Frank,3,02_Ef,0.001,20,5,0,TRUE,16.5,7400,3.869232,1,1
6/22/2018,Frank,3,02_Ef,0.001,20,5,0,TRUE,16.5,7400,3.869232,1,1
6/22/2018,Frank,3,02_Ef,0.001,20,5,0,TRUE,16.5,7400,3.869232,1,1
6/22/2018,Frank,3,02_Ef,0.001,20,5,0,TRUE,16.5,7400,3.869232,1,1
6/22/2018,Frank,3,02_Ef,0.001,20,5,0,TRUE,16.5,7400,3.869232,1,1
6/22/2018,Frank,3,02_Ef,0.01,22,1,1,FALSE,261,98333.25,4.9927,1,0
6/22/2018,Frank,3,02_Ef,0.01,22,1,1,FALSE,261,98333.25,4.9927,1,0
6/22/2018,Frank,3,02_Ef,0.01,22,2,1,FALSE,261,98333.25,4.9927,1,0
6/22/2018,Frank,3,02_Ef,0.01,22,2,1,FALSE,261,98333.25,4.9927,1,0
6/22/2018,Frank,3,02_Ef,0.01,22,5,1,TRUE,261,98333.25,4.9927,1,1
6/22/2018,Frank,3,02_Ef,0.01,22,5,0,TRUE,261,98333.25,4.9927,1,1
6/22/2018,Frank,3,02_Ef,0.01,22,5,0,TRUE,261,98333.25,4.9927,1,1
6/22/2018,Frank,3,02_Ef,0.01,22,5,0,TRUE,261,98333.25,4.9927,1,1
6/22/2018,Frank,3,02_Ef,0.01,22,5,0,TRUE,261,98333.25,4.9927,1,1
6/22/2018,Frank,3,02_Ef,0.01,23,2,1,FALSE,261,98333.25,4.9927,1,0
6/22/2018,Frank,3,02_Ef,0.01,23,5,0,TRUE,261,98333.25,4.9927,1,1
6/22/2018,Frank,3,02_Ef,0.01,23,5,0,TRUE,261,98333.25,4.9927,1,1
6/22/2018,Frank,3,02_Ef,0.01,23,5,0,TRUE,261,98333.25,4.9927,1,1
6/22/2018,Frank,3,02_Ef,0.01,23,5,0,TRUE,261,98333.25,4.9927,1,1
6/22/2018,Frank,3,02_Ef,0.01,23,5,0,TRUE,261,98333.25,4.9927,1,1
6/22/2018,Frank,3,02_Ef,0.01,23,5,0,TRUE,261,98333.25,4.9927,1,1
6/22/2018,Frank,3,02_Ef,0.01,23,5,0,TRUE,261,98333.25,4.9927,1,1
6/22/2018,Frank,3,02_Ef,0.01,23,5,0,TRUE,261,98333.25,4.9927,1,1
6/22/2018,Frank,3,02_Ef,0.1,25,1,1,FALSE,1567.333,958250,5.981479,1,0
6/22/2018,Frank,3,02_Ef,0.1,25,1,1,FALSE,1567.333,958250,5.981479,1,0
6/22/2018,Frank,3,02_Ef,0.1,25,1,1,FALSE,1567.333,958250,5.981479,1,0
6/22/2018,Frank,3,02_Ef,0.1,25,2,1,FALSE,1567.333,958250,5.981479,1,0
6/22/2018,Frank,3,02_Ef,0.1,25,2,1,FALSE,1567.333,958250,5.981479,1,0
6/22/2018,Frank,3,02_Ef,0.1,25,5,0,TRUE,1567.333,958250,5.981479,1,1
6/22/2018,Frank,3,02_Ef,0.1,25,5,0,TRUE,1567.333,958250,5.981479,1,1
6/22/2018,Frank,3,02_Ef,0.1,25,5,0,TRUE,1567.333,958250,5.981479,1,1
6/22/2018,Frank,3,02_Ef,0.1,25,5,0,TRUE,1567.333,958250,5.981479,1,1
6/22/2018,Frank,3,02_Ef,0.1,26,1,1,FALSE,1567.333,958250,5.981479,1,0
6/22/2018,Frank,3,02_Ef,0.1,26,2,1,FALSE,1567.333,958250,5.981479,1,0
6/22/2018,Frank,3,02_Ef,0.1,26,3,1,FALSE,1567.333,958250,5.981479,1,0
6/22/2018,Frank,3,02_Ef,0.1,26,5,0,TRUE,1567.333,958250,5.981479,1,1
6/22/2018,Frank,3,02_Ef,0.1,26,5,0,TRUE,1567.333,958250,5.981479,1,1
6/22/2018,Frank,3,02_Ef,0.1,26,5,0,TRUE,1567.333,958250,5.981479,1,1
6/22/2018,Frank,3,02_Ef,0.1,26,5,0,TRUE,1567.333,958250,5.981479,1,1
6/22/2018,Frank,3,02_Ef,0.1,26,5,0,TRUE,1567.333,958250,5.981479,1,1
6/22/2018,Frank,3,02_Ef,0.1,26,5,0,TRUE,1567.333,958250,5.981479,1,1
6/22/2018,Frank,3,02_Ef,0.1,26,5,0,TRUE,1567.333,958250,5.981479,1,1
6/22/2018,Frank,3,02_Ef,1,27,1,1,FALSE,5488,1347250,6.129448,1,0
6/22/2018,Frank,3,02_Ef,1,27,1,1,FALSE,5488,1347250,6.129448,1,0
6/22/2018,Frank,3,02_Ef,1,27,1,1,FALSE,5488,1347250,6.129448,1,0
6/22/2018,Frank,3,02_Ef,1,27,1,1,FALSE,5488,1347250,6.129448,1,0
6/22/2018,Frank,3,02_Ef,1,27,1,1,FALSE,5488,1347250,6.129448,1,0
6/22/2018,Frank,3,02_Ef,1,27,1,1,FALSE,5488,1347250,6.129448,1,0
6/22/2018,Frank,3,02_Ef,1,27,1,1,FALSE,5488,1347250,6.129448,1,0
6/22/2018,Frank,3,02_Ef,1,27,1,1,FALSE,5488,1347250,6.129448,1,0
6/22/2018,Frank,3,02_Ef,1,27,5,0,TRUE,5488,1347250,6.129448,1,1
6/22/2018,Frank,3,02_Ef,1,27,5,0,TRUE,5488,1347250,6.129448,1,1
6/22/2018,Frank,3,02_Ef,1,28,1,1,FALSE,5488,1347250,6.129448,1,0
6/22/2018,Frank,3,02_Ef,1,28,1,1,FALSE,5488,1347250,6.129448,1,0
6/22/2018,Frank,3,02_Ef,1,28,1,1,FALSE,5488,1347250,6.129448,1,0
6/22/2018,Frank,3,02_Ef,1,28,1,1,FALSE,5488,1347250,6.129448,1,0
6/22/2018,Frank,3,02_Ef,1,28,1,1,FALSE,5488,1347250,6.129448,1,0
6/22/2018,Frank,3,02_Ef,1,28,1,1,FALSE,5488,1347250,6.129448,1,0
6/22/2018,Frank,3,02_Ef,1,28,1,1,FALSE,5488,1347250,6.129448,1,0
6/22/2018,Frank,3,02_Ef,1,28,3,1,FALSE,5488,1347250,6.129448,1,0
6/22/2018,Frank,3,02_Ef,1,28,3,1,FALSE,5488,1347250,6.129448,1,0
6/22/2018,Frank,3,02_Ef,1,28,5,0,TRUE,5488,1347250,6.129448,1,1
6/22/2018,Frank,3,02_Ef,1,30,1,1,FALSE,5488,1347250,6.129448,1,0
6/22/2018,Frank,3,02_Ef,1,30,1,1,FALSE,5488,1347250,6.129448,1,0
6/22/2018,Frank,3,02_Ef,1,30,1,1,FALSE,5488,1347250,6.129448,1,0
6/22/2018,Frank,3,02_Ef,1,30,1,1,FALSE,5488,1347250,6.129448,1,0
6/22/2018,Frank,3,02_Ef,1,30,1,1,FALSE,5488,1347250,6.129448,1,0
6/22/2018,Frank,3,02_Ef,1,30,1,1,FALSE,5488,1347250,6.129448,1,0
6/22/2018,Frank,3,02_Ef,1,30,1,1,FALSE,5488,1347250,6.129448,1,0
6/22/2018,Frank,3,02_Ef,1,30,1,1,FALSE,5488,1347250,6.129448,1,0
6/22/2018,Frank,3,02_Ef,1,30,1,1,FALSE,5488,1347250,6.129448,1,0
6/25/2018,Frank,4,01_PBS,0.001,2,1,1,FALSE,48.4,34385,4.536369,0,0
6/25/2018,Frank,4,01_PBS,0.001,2,1,1,FALSE,48.4,34385,4.536369,0,0
6/25/2018,Frank,4,01_PBS,0.001,2,1,1,FALSE,48.4,34385,4.536369,0,0
6/25/2018,Frank,4,01_PBS,0.001,2,1,1,FALSE,48.4,34385,4.536369,0,0
6/25/2018,Frank,4,01_PBS,0.001,2,2,1,FALSE,48.4,34385,4.536369,0,0
6/25/2018,Frank,4,01_PBS,0.001,2,2,1,FALSE,48.4,34385,4.536369,0,0
6/25/2018,Frank,4,01_PBS,0.001,2,5,0,TRUE,48.4,34385,4.536369,0,1
