date,scientist,rep,primary,secondary,secondary_dose,condition,vial,day,hour,status,alive3,opposite
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.01,2,4,1.333333,32,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.01,2,4,1.333333,32,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.01,2,4,1.416667,34,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.01,2,4,1.416667,34,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.01,2,4,1.666667,40,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.01,2,4,1.666667,40,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.01,2,5,0.25,6,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.01,2,5,1.166667,28,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.01,2,5,1.25,30,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.01,2,5,1.25,30,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.01,2,5,1.25,30,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.01,2,5,1.333333,32,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.01,2,5,1.333333,32,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.01,2,5,1.416667,34,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.01,2,5,1.666667,40,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.01,2,5,1.666667,40,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.01,2,6,1.083333,26,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.01,2,6,1.166667,28,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.01,2,6,1.166667,28,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.01,2,6,1.25,30,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.01,2,6,1.333333,32,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.01,2,6,1.333333,32,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.01,2,6,1.416667,34,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.01,2,6,1.666667,40,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.01,2,6,1.75,42,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.1,3,7,1,24,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.1,3,7,1,24,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.1,3,7,1,24,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.1,3,7,1.083333,26,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.1,3,7,1.083333,26,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.1,3,7,1.166667,28,1,FALSE,TRUE
